DATE,Daily_Mean_PM,Daily_AQI_Value,AQI_Targeted_Value_LAG_7
2022-01-01,6.1,34.0,61.0
2022-01-02,4.6,26.0,23.0
2022-01-03,9.6,52.0,31.0
2022-01-04,5.3,29.0,49.0
2022-01-05,5.9,32.666666666666664,35.0
2022-01-06,7.1,39.0,43.0
2022-01-07,7.5,42.0,52.66666666666666
2022-01-08,14.466666666666669,61.0,27.0
2022-01-09,4.2,23.0,55.0
2022-01-10,5.6,31.0,64.25
2022-01-11,8.9,49.0,37.0
2022-01-12,6.3,35.0,44.0
2022-01-13,7.7,43.0,9.0
2022-01-14,10.533333333333331,52.66666666666666,17.0
2022-01-15,4.8,27.0,55.0
2022-01-16,11.0,55.0,50.333333333333336
2022-01-17,16.125,64.25,26.0
2022-01-18,6.6,37.0,41.0
2022-01-19,7.9,44.0,39.0
2022-01-20,1.5666666666666669,9.0,49.0
2022-01-21,3.0,17.0,37.0
2022-01-22,11.3,55.0,32.0
2022-01-23,9.266666666666667,50.333333333333336,13.0
2022-01-24,4.6,26.0,19.0
2022-01-25,7.3,41.0,24.5
2022-01-26,7.033333333333334,39.0,21.0
2022-01-27,8.8,49.0,6.0
2022-01-28,6.6,37.0,41.333333333333336
2022-01-29,5.8,32.0,64.0
2022-01-30,2.3,13.0,32.0
2022-01-31,3.5,19.0,42.333333333333336
2022-02-01,4.425,24.5,25.5
2022-02-02,3.7,21.0,50.0
2022-02-03,1.1,6.0,55.66666666666666
2022-02-04,7.5,41.333333333333336,35.0
2022-02-05,16.3,64.0,9.0
2022-02-06,5.7,32.0,46.75
2022-02-07,7.866666666666667,42.333333333333336,41.5
2022-02-08,4.6,25.5,24.5
2022-02-09,9.35,50.0,23.25
2022-02-10,11.566666666666668,55.66666666666666,20.5
2022-02-11,6.3,35.0,23.5
2022-02-12,1.7,9.0,53.75
2022-02-13,8.625,46.75,28.0
2022-02-14,7.45,41.5,28.0
2022-02-15,4.45,24.5,44.2
2022-02-16,4.225,23.25,11.5
2022-02-17,3.7,20.5,8.5
2022-02-18,4.2,23.5,42.5
2022-02-19,11.025,53.75,44.5
2022-02-20,5.0,28.0,53.5
2022-02-21,5.05,28.0,54.0
2022-02-22,7.94,44.2,46.5
2022-02-23,2.1,11.5,53.5
2022-02-24,0.4499999999999999,8.5,57.25
2022-02-25,7.699999999999999,42.5,47.0
2022-02-26,8.350000000000001,44.5,40.0
2022-02-27,11.0,53.5,33.25
2022-02-28,10.75,54.0,28.33333333333333
2022-03-01,8.350000000000001,46.5,42.0
2022-03-02,10.45,53.5,50.0
2022-03-03,12.375,57.25,38.0
2022-03-04,8.5,47.0,51.0
2022-03-05,7.2,40.0,33.0
2022-03-06,6.0,33.25,30.0
2022-03-07,5.133333333333334,28.33333333333333,32.0
2022-03-08,7.5,42.0,45.75
2022-03-09,9.0,50.0,47.0
2022-03-10,6.9,38.0,43.0
2022-03-11,9.2,51.0,17.2
2022-03-12,6.0,33.0,36.5
2022-03-13,5.449999999999999,30.0,40.5
2022-03-14,5.800000000000001,32.0,25.5
2022-03-15,8.25,45.75,19.5
2022-03-16,8.5,47.0,21.5
2022-03-17,7.7,43.0,29.5
2022-03-18,3.08,17.2,46.0
2022-03-19,6.55,36.5,62.0
2022-03-20,7.25,40.5,37.5
2022-03-21,4.6,25.5,26.0
2022-03-22,3.5,19.5,39.0
2022-03-23,3.85,21.5,54.25
2022-03-24,5.325,29.5,38.0
2022-03-25,8.3,46.0,33.0
2022-03-26,14.8,62.0,52.5
2022-03-27,6.75,37.5,54.5
2022-03-28,4.7,26.0,51.0
2022-03-29,7.050000000000001,39.0,44.5
2022-03-30,10.95,54.25,25.0
2022-03-31,6.800000000000001,38.0,37.0
2022-04-01,5.9,33.0,56.0
2022-04-02,9.925,52.5,39.0
2022-04-03,10.9,54.5,39.0
2022-04-04,9.55,51.0,58.333333333333336
2022-04-05,7.975,44.5,62.0
2022-04-06,4.5,25.0,53.0
2022-04-07,6.7,37.0,33.333333333333336
2022-04-08,11.633333333333333,56.0,50.5
2022-04-09,7.0,39.0,57.5
2022-04-10,7.1,39.0,52.5
2022-04-11,13.0,58.333333333333336,31.0
2022-04-12,14.9,62.0,36.0
2022-04-13,10.0,53.0,49.75
2022-04-14,6.033333333333334,33.333333333333336,54.5
2022-04-15,9.05,50.5,53.0
2022-04-16,12.75,57.5,44.66666666666666
2022-04-17,10.05,52.5,35.0
2022-04-18,5.550000000000001,31.0,16.5
2022-04-19,6.5,36.0,31.0
2022-04-20,9.175,49.75,45.5
2022-04-21,11.1,54.5,44.5
2022-04-22,10.1,53.0,30.33333333333333
2022-04-23,8.033333333333333,44.66666666666666,28.33333333333333
2022-04-24,6.25,35.0,40.66666666666666
2022-04-25,3.0,16.5,40.0
2022-04-26,5.533333333333334,31.0,23.33333333333333
2022-04-27,8.35,45.5,56.0
2022-04-28,8.05,44.5,40.75
2022-04-29,5.433333333333334,30.33333333333333,38.0
2022-04-30,5.166666666666667,28.33333333333333,60.0
2022-05-01,7.266666666666667,40.66666666666666,68.25
2022-05-02,7.233333333333333,40.0,71.33333333333333
2022-05-03,4.233333333333333,23.33333333333333,60.333333333333336
2022-05-04,11.8,56.0,55.5
2022-05-05,7.35,40.75,54.0
2022-05-06,6.833333333333333,38.0,48.66666666666666
2022-05-07,14.1,60.0,48.75
2022-05-08,18.425,68.25,45.66666666666666
2022-05-09,20.066666666666663,71.33333333333333,48.333333333333336
2022-05-10,14.0,60.333333333333336,52.4
2022-05-11,11.55,55.5,47.66666666666666
2022-05-12,10.75,54.0,52.333333333333336
2022-05-13,8.799999999999999,48.66666666666666,82.0
2022-05-14,8.9,48.75,69.0
2022-05-15,8.299999999999999,45.66666666666666,23.33333333333333
2022-05-16,9.1,48.333333333333336,37.0
2022-05-17,9.94,52.4,37.66666666666666
2022-05-18,8.700000000000001,47.66666666666666,18.0
2022-05-19,9.966666666666669,52.333333333333336,35.25
2022-05-20,25.775,82.0,49.333333333333336
2022-05-21,18.8,69.0,47.66666666666666
2022-05-22,4.133333333333334,23.33333333333333,53.4
2022-05-23,6.675,37.0,51.66666666666666
2022-05-24,6.8,37.66666666666666,45.0
2022-05-25,3.25,18.0,34.25
2022-05-26,6.35,35.25,10.5
2022-05-27,9.1,49.333333333333336,29.0
2022-05-28,8.6,47.66666666666666,43.0
2022-05-29,10.5,53.4,38.5
2022-05-30,9.566666666666666,51.66666666666666,36.0
2022-05-31,8.1,45.0,34.333333333333336
2022-06-01,6.175,34.25,38.333333333333336
2022-06-02,1.9,10.5,57.66666666666666
2022-06-03,5.199999999999999,29.0,58.66666666666666
2022-06-04,8.1,43.0,45.66666666666666
2022-06-05,6.95,38.5,60.0
2022-06-06,6.55,36.0,107.66666666666669
2022-06-07,6.133333333333333,34.333333333333336,115.0
2022-06-08,6.966666666666666,38.333333333333336,68.66666666666667
2022-06-09,12.766666666666666,57.66666666666666,109.0
2022-06-10,13.199999999999998,58.66666666666666,103.0
2022-06-11,8.866666666666667,45.66666666666666,59.66666666666666
2022-06-12,13.800000000000002,60.0,58.75
2022-06-13,37.93333333333333,107.66666666666669,58.0
2022-06-14,41.266666666666666,115.0,61.333333333333336
2022-06-15,18.6,68.66666666666667,57.0
2022-06-16,38.6,109.0,59.333333333333336
2022-06-17,36.03333333333333,103.0,57.333333333333336
2022-06-18,13.699999999999998,59.66666666666666,47.25
2022-06-19,13.325,58.75,53.333333333333336
2022-06-20,12.833333333333334,58.0,49.0
2022-06-21,14.666666666666666,61.333333333333336,43.5
2022-06-22,12.38,57.0,50.66666666666666
2022-06-23,13.433333333333332,59.333333333333336,59.5
2022-06-24,12.433333333333332,57.333333333333336,29.5
2022-06-25,8.55,47.25,45.0
2022-06-26,10.3,53.333333333333336,54.333333333333336
2022-06-27,8.833333333333334,49.0,55.25
2022-06-28,7.85,43.5,53.5
2022-06-29,9.4,50.66666666666666,54.5
2022-06-30,13.5,59.5,44.333333333333336
2022-07-01,5.3,29.5,51.5
2022-07-02,8.1,45.0,54.5
2022-07-03,10.8,54.333333333333336,37.333333333333336
2022-07-04,11.4,55.25,52.5
2022-07-05,10.45,53.5,52.5
2022-07-06,10.9,54.5,57.333333333333336
2022-07-07,8.033333333333333,44.333333333333336,50.5
2022-07-08,9.9,51.5,48.0
2022-07-09,11.05,54.5,45.25
2022-07-10,6.733333333333333,37.333333333333336,94.5
2022-07-11,10.05,52.5,98.5
2022-07-12,9.85,52.5,55.0
2022-07-13,12.566666666666668,57.333333333333336,57.0
2022-07-14,9.4,50.5,56.0
2022-07-15,9.2,48.0,63.0
2022-07-16,8.15,45.25,54.0
2022-07-17,31.85,94.5,43.0
2022-07-18,33.7,98.5,36.0
2022-07-19,11.15,55.0,33.0
2022-07-20,12.3,57.0,33.0
2022-07-21,11.9,56.0,37.333333333333336
2022-07-22,15.5,63.0,36.0
2022-07-23,10.6,54.0,52.0
2022-07-24,7.7,43.0,58.5
2022-07-25,6.5,36.0,47.0
2022-07-26,6.0,33.0,49.0
2022-07-27,6.0,33.0,52.0
2022-07-28,6.7,37.333333333333336,66.0
2022-07-29,6.5,36.0,67.33333333333333
2022-07-30,9.5,52.0,48.5
2022-07-31,13.1,58.5,49.0
2022-08-01,8.4,47.0,50.66666666666666
2022-08-02,8.8,49.0,40.0
2022-08-03,9.65,52.0,48.66666666666666
2022-08-04,17.200000000000003,66.0,46.66666666666666
2022-08-05,17.900000000000002,67.33333333333333,43.5
2022-08-06,9.475,48.5,46.0
2022-08-07,8.766666666666666,49.0,43.0
2022-08-08,9.133333333333333,50.66666666666666,53.0
2022-08-09,7.2,40.0,50.0
2022-08-10,8.733333333333333,48.66666666666666,48.0
2022-08-11,8.566666666666668,46.66666666666666,41.25
2022-08-12,7.775,43.5,44.333333333333336
2022-08-13,8.266666666666667,46.0,40.0
2022-08-14,7.733333333333333,43.0,25.25
2022-08-15,10.2,53.0,8.666666666666666
2022-08-16,9.15,50.0,10.666666666666666
2022-08-17,8.666666666666666,48.0,21.5
2022-08-18,7.45,41.25,31.0
2022-08-19,7.966666666666666,44.333333333333336,28.666666666666668
2022-08-20,7.2,40.0,44.75
2022-08-21,4.6,25.25,20.33333333333333
2022-08-22,1.0,8.666666666666666,21.33333333333333
2022-08-23,1.9,10.666666666666666,25.75
2022-08-24,3.875,21.5,28.0
2022-08-25,5.533333333333334,31.0,31.33333333333333
2022-08-26,5.2,28.666666666666668,34.0
2022-08-27,8.175,44.75,42.0
2022-08-28,3.6666666666666665,20.33333333333333,38.333333333333336
2022-08-29,3.8333333333333335,21.33333333333333,35.25
2022-08-30,4.65,25.75,43.66666666666666
2022-08-31,5.0,28.0,53.0
2022-09-01,5.666666666666667,31.33333333333333,54.5
2022-09-02,6.140000000000001,34.0,55.0
2022-09-03,7.8,42.0,61.5
2022-09-04,6.9,38.333333333333336,38.66666666666666
2022-09-05,6.375,35.25,50.5
2022-09-06,7.833333333333333,43.66666666666666,56.0
2022-09-07,10.1,53.0,55.0
2022-09-08,10.9,54.5,57.0
2022-09-09,11.15,55.0,58.0
2022-09-10,14.55,61.5,28.666666666666668
2022-09-11,6.933333333333334,38.66666666666666,35.0
2022-09-12,9.55,50.5,46.0
2022-09-13,11.8,56.0,40.0
2022-09-14,11.300000000000002,55.0,53.5
2022-09-15,12.2,57.0,58.5
2022-09-16,12.7,58.0,66.0
2022-09-17,5.233333333333333,28.666666666666668,58.5
2022-09-18,6.3,35.0,46.0
2022-09-19,8.6,46.0,33.75
2022-09-20,7.266666666666667,40.0,54.5
2022-09-21,10.4,53.5,52.0
2022-09-22,13.0,58.5,57.66666666666666
2022-09-23,17.233333333333334,66.0,56.5
2022-09-24,13.25,58.5,52.5
2022-09-25,8.25,46.0,62.66666666666666
2022-09-26,6.075,33.75,60.0
2022-09-27,11.1,54.5,57.5
2022-09-28,9.75,52.0,61.0
2022-09-29,12.666666666666666,57.66666666666666,67.5
2022-09-30,12.25,56.5,57.5
2022-10-01,10.0,52.5,59.0
2022-10-02,15.533333333333331,62.66666666666666,60.0
2022-10-03,14.1,60.0,66.0
2022-10-04,12.45,57.5,55.0
2022-10-05,14.466666666666669,61.0,43.0
2022-10-06,17.85,67.5,26.5
2022-10-07,12.45,57.5,53.0
2022-10-08,13.45,59.0,45.66666666666666
2022-10-09,13.8,60.0,20.0
2022-10-10,17.4,66.0,25.25
2022-10-11,11.4,55.0,21.0
2022-10-12,7.75,43.0,32.0
2022-10-13,4.75,26.5,44.5
2022-10-14,10.2,53.0,56.0
2022-10-15,8.466666666666667,45.66666666666666,33.0
2022-10-16,3.6,20.0,21.5
2022-10-17,4.550000000000001,25.25,25.0
2022-10-18,3.766666666666667,21.0,28.0
2022-10-19,5.8,32.0,36.0
2022-10-20,8.0,44.5,49.0
2022-10-21,12.0,56.0,42.333333333333336
2022-10-22,6.0,33.0,45.5
2022-10-23,3.85,21.5,56.0
2022-10-24,4.5,25.0,58.75
2022-10-25,5.1,28.0,58.5
2022-10-26,6.5,36.0,55.5
2022-10-28,8.8,49.0,20.0
2022-10-29,7.7,42.333333333333336,23.0
2022-10-30,9.0,45.5,35.5
2022-10-31,11.6,56.0,40.333333333333336
2022-11-01,13.325,58.75,61.5
2022-11-02,12.95,58.5,56.5
2022-11-03,11.95,55.5,57.66666666666666
2022-11-04,3.5666666666666664,20.0,22.5
2022-11-05,4.2,23.0,26.5
2022-11-06,6.4,35.5,41.0
2022-11-07,7.466666666666666,40.333333333333336,34.0
2022-11-08,14.65,61.5,44.5
2022-11-09,12.1,56.5,54.66666666666666
2022-11-10,12.666666666666666,57.66666666666666,48.0
2022-11-11,4.05,22.5,38.0
2022-11-12,4.75,26.5,30.5
2022-11-13,7.333333333333333,41.0,59.0
2022-11-14,6.15,34.0,50.5
2022-11-15,8.0,44.5,49.0
2022-11-16,11.2,54.66666666666666,56.5
2022-11-17,8.7,48.0,38.5
2022-11-18,6.9,38.0,29.33333333333333
2022-11-19,5.45,30.5,12.0
2022-11-20,13.45,59.0,17.0
2022-11-21,9.35,50.5,26.33333333333333
2022-11-22,9.033333333333331,49.0,34.0
2022-11-23,11.95,56.5,15.0
2022-11-24,6.9,38.5,31.0
2022-11-25,5.333333333333333,29.33333333333333,46.0
2022-11-26,2.2,12.0,22.5
2022-11-27,3.1,17.0,37.5
2022-11-28,4.766666666666667,26.33333333333333,42.0
2022-11-29,6.1,34.0,39.5
2022-11-30,2.7,15.0,59.75
2022-12-01,5.566666666666666,31.0,65.5
2022-12-02,8.25,46.0,59.5
2022-12-03,4.050000000000001,22.5,39.66666666666666
2022-12-04,6.800000000000001,37.5,26.0
2022-12-05,7.800000000000001,42.0,49.5
2022-12-06,7.1,39.5,22.33333333333333
2022-12-07,14.65,59.75,18.5
2022-12-08,16.85,65.5,21.5
2022-12-09,13.7,59.5,26.0
2022-12-10,7.166666666666667,39.66666666666666,47.0
2022-12-11,4.7,26.0,64.5
2022-12-12,9.1,49.5,33.5
2022-12-13,4.0,22.33333333333333,38.5
2022-12-14,3.35,18.5,60.5
2022-12-15,3.95,21.5,53.0
2022-12-16,4.7,26.0,19.0
2022-12-17,8.7,47.0,49.5
2022-12-18,16.25,64.5,67.66666666666667
2022-12-19,6.0,33.5,35.0
2022-12-20,6.85,38.5,46.5
2022-12-21,14.2,60.5,32.333333333333336
2022-12-22,10.1,53.0,42.5
2022-12-23,3.4,19.0,49.0
2022-12-24,9.0,49.5,43.333333333333336
2022-12-25,18.066666666666663,67.66666666666667,52.0
2022-12-26,6.25,35.0,57.0
2022-12-27,8.5,46.5,40.0
2022-12-28,5.8,32.333333333333336,31.5
2022-12-29,7.7,42.5,52.5
2022-12-30,8.85,49.0,52.5
2022-12-31,7.8,43.333333333333336,31.5
2023-01-01,9.9,52.0,52.0
2023-01-02,12.4,57.0,61.0
2023-01-03,7.15,40.0,55.5
2023-01-04,5.699999999999999,31.5,45.0
2023-01-05,9.8,52.5,32.666666666666664
2023-01-06,9.9,52.5,47.5
2023-01-07,5.65,31.5,49.5
2023-01-08,9.65,52.0,31.666666666666668
2023-01-09,14.6,61.0,32.5
2023-01-10,11.5,55.5,37.5
2023-01-11,8.05,45.0,39.66666666666666
2023-01-12,5.9,32.666666666666664,22.5
2023-01-13,8.5,47.5,41.0
2023-01-14,9.15,49.5,36.0
2023-01-15,5.7,31.666666666666668,22.33333333333333
2023-01-16,5.800000000000001,32.5,38.66666666666666
2023-01-17,7.0,37.5,25.75
2023-01-18,7.133333333333333,39.66666666666666,42.333333333333336
2023-01-19,4.0,22.5,37.333333333333336
2023-01-20,7.4,41.0,39.66666666666666
2023-01-21,6.466666666666666,36.0,46.0
2023-01-22,4.066666666666666,22.33333333333333,43.0
2023-01-23,6.933333333333334,38.66666666666666,29.33333333333333
2023-01-24,4.65,25.75,40.0
2023-01-25,7.566666666666666,42.333333333333336,50.0
2023-01-26,6.733333333333334,37.333333333333336,56.66666666666666
2023-01-27,7.066666666666666,39.66666666666666,70.5
2023-01-28,8.25,46.0,67.0
2023-01-29,7.800000000000001,43.0,46.75
2023-01-30,5.266666666666667,29.33333333333333,32.0
2023-01-31,7.15,40.0,18.5
2023-02-01,8.95,50.0,8.666666666666666
2023-02-02,12.1,56.66666666666666,42.0
2023-02-03,19.55,70.5,28.5
2023-02-04,17.6,67.0,47.5
2023-02-05,8.975000000000001,46.75,57.5
2023-02-06,5.75,32.0,41.0
2023-02-07,3.4,18.5,20.33333333333333
2023-02-08,1.1333333333333333,8.666666666666666,52.0
2023-02-09,7.55,42.0,17.0
2023-02-10,5.15,28.5,23.5
2023-02-11,8.55,47.5,49.5
2023-02-12,13.1,57.5,40.0
2023-02-13,7.4,41.0,33.0
2023-02-14,3.6666666666666665,20.33333333333333,37.0
2023-02-15,10.25,52.0,33.0
2023-02-16,3.0,17.0,32.333333333333336
2023-02-17,4.199999999999999,23.5,34.5
2023-02-18,9.0,49.5,60.5
2023-02-19,7.15,40.0,67.0
2023-02-20,5.966666666666666,33.0,124.0
2023-02-21,6.7,37.0,43.0
2023-02-22,5.949999999999999,33.0,57.25
2023-02-23,5.866666666666667,32.333333333333336,60.0
2023-02-24,6.25,34.5,43.0
2023-02-25,14.25,60.5,51.0
2023-02-26,17.566666666666666,67.0,53.0
2023-02-27,44.85,124.0,54.0
2023-02-28,7.7,43.0,66.5
2023-03-01,12.4,57.25,54.0
2023-03-02,13.9,60.0,63.0
2023-03-03,7.8,43.0,27.666666666666668
2023-03-04,10.2,51.0,61.5
2023-03-05,10.4,53.0,16.0
2023-03-06,10.7,54.0,18.5
2023-03-07,17.35,66.5,47.0
2023-03-08,10.7,54.0,62.0
2023-03-09,15.65,63.0,35.666666666666664
2023-03-10,4.966666666666666,27.666666666666668,13.0
2023-03-11,14.75,61.5,31.5
2023-03-12,2.9,16.0,31.666666666666668
2023-03-13,3.325,18.5,45.5
2023-03-14,8.45,47.0,33.0
2023-03-15,15.05,62.0,44.333333333333336
2023-03-16,6.466666666666666,35.666666666666664,53.5
2023-03-17,2.4,13.0,39.5
2023-03-18,5.6,31.5,54.5
2023-03-19,5.633333333333333,31.666666666666668,58.0
2023-03-20,8.2,45.5,41.0
2023-03-21,5.9,33.0,48.0
2023-03-22,8.033333333333333,44.333333333333336,60.0
2023-03-23,10.4,53.5,57.5
2023-03-24,7.1000000000000005,39.5,55.333333333333336
2023-03-25,11.1,54.5,52.5
2023-03-26,12.75,58.0,60.5
2023-03-27,7.4,41.0,63.0
2023-03-28,8.866666666666667,48.0,70.5
2023-03-29,13.8,60.0,52.0
2023-03-30,12.5,57.5,26.75
2023-03-31,11.533333333333331,55.333333333333336,33.0
2023-04-01,9.95,52.5,40.0
2023-04-02,14.25,60.5,54.333333333333336
2023-04-03,15.566666666666668,63.0,37.0
2023-04-04,19.6,70.5,46.5
2023-04-05,9.65,52.0,51.0
2023-04-06,4.8,26.75,44.5
2023-04-07,5.9,33.0,38.0
2023-04-08,7.2,40.0,31.33333333333333
2023-04-09,10.8,54.333333333333336,26.0
2023-04-10,6.699999999999999,37.0,48.5
2023-04-11,8.5,46.5,51.75
2023-04-12,9.6,51.0,50.0
2023-04-13,8.100000000000001,44.5,66.0
2023-04-14,6.8,38.0,44.66666666666666
2023-04-15,5.666666666666667,31.33333333333333,44.0
2023-04-16,4.7,26.0,33.0
2023-04-17,8.75,48.5,39.66666666666666
2023-04-18,9.625,51.75,52.0
2023-04-19,9.5,50.0,47.5
2023-04-20,16.95,66.0,27.33333333333333
2023-04-21,8.033333333333333,44.66666666666666,34.0
2023-04-22,7.949999999999999,44.0,22.0
2023-04-23,5.95,33.0,30.0
2023-04-24,7.2,39.66666666666666,23.5
2023-04-25,9.7,52.0,46.0
2023-04-26,8.5,47.5,46.0
2023-04-27,4.933333333333334,27.33333333333333,59.5
2023-04-28,6.05,34.0,59.5
2023-04-29,3.9,22.0,61.5
2023-04-30,5.425,30.0,54.0
2023-05-01,4.300000000000001,23.5,62.5
2023-05-02,8.3,46.0,58.0
2023-05-03,8.433333333333332,46.0,46.0
2023-05-04,13.55,59.5,67.66666666666667
2023-05-05,13.45,59.5,73.0
2023-05-06,14.65,61.5,29.0
2023-05-07,10.7,54.0,32.666666666666664
2023-05-08,15.35,62.5,34.75
2023-05-09,12.766666666666666,58.0,26.0
2023-05-10,8.433333333333334,46.0,34.333333333333336
2023-05-11,18.0,67.66666666666667,45.25
2023-05-12,20.86,73.0,47.0
2023-05-13,5.233333333333333,29.0,77.66666666666667
2023-05-14,5.833333333333333,32.666666666666664,60.75
2023-05-15,6.275,34.75,69.66666666666667
2023-05-16,4.666666666666667,26.0,71.66666666666667
2023-05-17,6.233333333333333,34.333333333333336,64.2
2023-05-18,8.2,45.25,56.66666666666666
2023-05-19,8.733333333333333,47.0,68.0
2023-05-20,23.4,77.66666666666667,74.0
2023-05-21,14.225,60.75,70.0
2023-05-22,19.166666666666668,69.66666666666667,60.333333333333336
2023-05-23,20.23333333333333,71.66666666666667,52.5
2023-05-24,16.259999999999998,64.2,57.333333333333336
2023-05-25,12.1,56.66666666666666,60.66666666666666
2023-05-26,18.23333333333333,68.0,64.25
2023-05-27,21.325,74.0,36.0
2023-05-28,19.3,70.0,33.0
2023-05-29,14.0,60.333333333333336,45.8
2023-05-30,10.2,52.5,59.5
2023-05-31,12.366666666666667,57.333333333333336,59.0
2023-06-01,14.233333333333334,60.66666666666666,55.0
2023-06-02,16.275,64.25,51.5
2023-06-03,6.466666666666666,36.0,40.5
2023-06-04,5.933333333333334,33.0,38.66666666666666
2023-06-05,8.24,45.8,31.0
2023-06-06,13.45,59.5,61.5
2023-06-07,13.3,59.0,67.75
2023-06-08,11.3,55.0,71.0
2023-06-09,9.95,51.5,54.0
2023-06-10,7.25,40.5,62.25
2023-06-11,6.966666666666666,38.66666666666666,57.0
2023-06-12,5.55,31.0,56.5
2023-06-13,14.75,61.5,64.66666666666667
2023-06-14,18.25,67.75,72.5
2023-06-15,19.96666666666667,71.0,57.5
2023-06-16,11.1,54.0,58.0
2023-06-17,15.05,62.25,53.5
2023-06-18,12.3,57.0,43.0
2023-06-19,12.1,56.5,49.66666666666666
2023-06-20,16.333333333333332,64.66666666666667,52.0
2023-06-21,20.65,72.5,56.5
2023-06-22,12.65,57.5,51.5
2023-06-23,12.966666666666669,58.0,51.0
2023-06-24,10.6,53.5,37.0
2023-06-25,7.75,43.0,43.333333333333336
2023-06-26,9.233333333333333,49.66666666666666,53.0
2023-06-27,9.7,52.0,54.66666666666666
2023-06-28,12.15,56.5,49.75
2023-06-29,9.725,51.5,41.0
2023-06-30,9.65,51.0,41.333333333333336
2023-07-01,6.6,37.0,41.333333333333336
2023-07-02,7.766666666666667,43.333333333333336,35.0
2023-07-03,10.2,53.0,56.0
2023-07-04,11.066666666666668,54.66666666666666,52.5
2023-07-05,9.175,49.75,58.0
2023-07-06,7.399999999999999,41.0,52.5
2023-07-07,7.466666666666666,41.333333333333336,67.5
2023-07-08,7.399999999999999,41.333333333333336,63.333333333333336
2023-07-09,6.25,35.0,53.333333333333336
2023-07-10,12.0,56.0,69.0
2023-07-11,9.975,52.5,63.0
2023-07-12,12.9,58.0,68.0
2023-07-13,9.9,52.5,67.66666666666667
2023-07-14,18.05,67.5,66.0
2023-07-15,15.833333333333334,63.333333333333336,33.0
2023-07-16,10.3,53.333333333333336,53.4
2023-07-17,18.55,69.0,58.333333333333336
2023-07-18,15.75,63.0,58.333333333333336
2023-07-19,18.05,68.0,67.75
2023-07-20,18.2,67.66666666666667,72.0
2023-07-21,17.1,66.0,70.33333333333333
2023-07-22,5.9,33.0,67.75
2023-07-23,10.46,53.4,64.33333333333333
2023-07-24,13.0,58.333333333333336,65.0
2023-07-25,12.933333333333332,58.333333333333336,64.0
2023-07-26,18.025,67.75,56.333333333333336
2023-07-27,20.3,72.0,49.66666666666666
2023-07-28,19.46666666666667,70.33333333333333,42.4
2023-07-29,18.175,67.75,55.0
2023-07-30,16.23333333333333,64.33333333333333,46.66666666666666
2023-07-31,16.7,65.0,52.5
2023-08-01,16.05,64.0,54.333333333333336
2023-08-02,12.033333333333331,56.333333333333336,46.66666666666666
2023-08-03,9.233333333333333,49.66666666666666,54.25
